,rank,title,fullTitle,year,crew,imDbRating,imDbRating
185,186,Wild Strawberries,Wild Strawberries (1957),1957,"Ingmar Bergman (dir.), Victor Sjöström, Bibi Andersson",8.1,8.1
186,187,The General,The General (1926),1926,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",8.1,8.1
187,188,The Third Man,The Third Man (1949),1949,"Carol Reed (dir.), Orson Welles, Joseph Cotten",8.1,8.1
188,189,In the Name of the Father,In the Name of the Father (1993),1993,"Jim Sheridan (dir.), Daniel Day-Lewis, Pete Postlethwaite",8.1,8.1
189,190,The Deer Hunter,The Deer Hunter (1978),1978,"Michael Cimino (dir.), Robert De Niro, Christopher Walken",8.1,8.1
190,191,Barry Lyndon,Barry Lyndon (1975),1975,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",8.1,8.1
191,192,Hacksaw Ridge,Hacksaw Ridge (2016),2016,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",8.1,8.1
192,193,The Wages of Fear,The Wages of Fear (1953),1953,"Henri-Georges Clouzot (dir.), Yves Montand, Charles Vanel",8.1,8.1
193,194,Memories of Murder,Memories of Murder (2003),2003,"Bong Joon Ho (dir.), Song Kang-ho, Kim Sang-kyung",8.1,8.1
194,195,Sherlock Jr.,Sherlock Jr. (1924),1924,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",8.1,8.1
195,196,Wild Tales,Wild Tales (2014),2014,"Damián Szifron (dir.), Darío Grandinetti, María Marull",8.1,8.1
196,197,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington (1939),1939,"Frank Capra (dir.), James Stewart, Jean Arthur",8.1,8.1
197,198,Mad Max: Fury Road,Mad Max: Fury Road (2015),2015,"George Miller (dir.), Tom Hardy, Charlize Theron",8.1,8.1
198,199,The Seventh Seal,The Seventh Seal (1957),1957,"Ingmar Bergman (dir.), Max von Sydow, Gunnar Björnstrand",8.1,8.1
199,200,Mary and Max,Mary and Max (2009),2009,"Adam Elliot (dir.), Toni Collette, Philip Seymour Hoffman",8.1,8.1
200,201,How to Train Your Dragon,How to Train Your Dragon (2010),2010,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",8.1,8.1
201,202,Room,Room (2015),2015,"Lenny Abrahamson (dir.), Brie Larson, Jacob Tremblay",8.1,8.1
202,203,"Monsters, Inc.","Monsters, Inc. (2001)",2001,"Pete Docter (dir.), Billy Crystal, John Goodman",8.1,8.1
203,204,Jaws,Jaws (1975),1975,"Steven Spielberg (dir.), Roy Scheider, Robert Shaw",8.1,8.1
204,205,Dead Poets Society,Dead Poets Society (1989),1989,"Peter Weir (dir.), Robin Williams, Robert Sean Leonard",8.1,8.1
205,206,The Big Lebowski,The Big Lebowski (1998),1998,"Joel Coen (dir.), Jeff Bridges, John Goodman",8.1,8.1
